title,price_gbp,rating,category_name
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,Business
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,5,Business
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,Business
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,Business
Made to Stick: Why Some Ideas Survive and Others Die,38.85,5,Business
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,1,Business
The Art of Startup Fundraising,21.0,3,Business
Born for This: How to Find the Work You Were Meant to Do,21.59,5,Business
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,1,Business
"Rich Dad, Poor Dad",51.74,1,Business
