title,price_gbp,rating,availability,category,in_stock,price_inr
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock,Business,True,3517.3700000000003
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,5,In stock,Business,True,1330.355
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,In stock,Business,True,2906.525
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,In stock,Business,True,2530.9449999999997
Made to Stick: Why Some Ideas Survive and Others Die,38.85,5,In stock,Business,True,4098.675
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,1,In stock,Business,True,4551.27
The Art of Startup Fundraising,21.0,3,In stock,Business,True,2215.5
Born for This: How to Find the Work You Were Meant to Do,21.59,5,In stock,Business,True,2277.745
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,1,In stock,Business,True,3894.0049999999997
"Rich Dad, Poor Dad",51.74,1,In stock,Business,True,5458.570000000001
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,33.92,3,In stock,Business,True,3578.5600000000004
Rework,44.88,2,In stock,Business,True,4734.84
Sharp Objects,47.82,4,In stock,Mystery,True,5045.01
"In a Dark, Dark Wood",19.63,1,In stock,Mystery,True,2070.9649999999997
The Past Never Ends,56.5,4,In stock,Mystery,True,5960.75
A Murder in Time,16.64,1,In stock,Mystery,True,1755.52
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,In stock,Mystery,True,4652.55
The Last Mile (Amos Decker #2),54.21,2,In stock,Mystery,True,5719.155
That Darkness (Gardiner and Renner #1),13.92,1,In stock,Mystery,True,1468.56
Tastes Like Fear (DI Marnie Rome #3),10.69,1,In stock,Mystery,True,1127.7949999999998
A Time of Torment (Charlie Parker #14),48.35,5,In stock,Mystery,True,5100.925
A Study in Scarlet (Sherlock Holmes #1),16.73,2,In stock,Mystery,True,1765.015
Poisonous (Max Revere Novels #3),26.8,3,In stock,Mystery,True,2827.4
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,In stock,Mystery,True,5734.98
Most Wanted,35.28,3,In stock,Mystery,True,3722.04
Hide Away (Eve Duncan #20),11.84,1,In stock,Mystery,True,1249.12
Boar Island (Anna Pigeon #19),59.48,3,In stock,Mystery,True,6275.139999999999
The Widow,27.26,2,In stock,Mystery,True,2875.9300000000003
Playing with Fire,13.71,3,In stock,Mystery,True,1446.4050000000002
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,In stock,Mystery,True,2676.5350000000003
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,In stock,Mystery,True,5517.65
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,In stock,Mystery,True,2203.895
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,In stock,Mystery,True,2616.4
In the Woods (Dublin Murder Squad #1),38.38,2,In stock,Mystery,True,4049.09
The Silkworm (Cormoran Strike #2),23.05,5,In stock,Mystery,True,2431.775
The Exiled,43.45,3,In stock,Mystery,True,4583.975
The Cuckoo's Calling (Cormoran Strike #1),19.21,1,In stock,Mystery,True,2026.6550000000002
Extreme Prey (Lucas Davenport #26),25.4,3,In stock,Mystery,True,2679.7
Career of Evil (Cormoran Strike #3),24.72,2,In stock,Mystery,True,2607.96
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,In stock,Mystery,True,6087.35
The Girl You Lost,12.29,5,In stock,Mystery,True,1296.5949999999998
The Girl In The Ice (DCI Erika Foster #1),15.85,3,In stock,Mystery,True,1672.175
Blood Defense (Samantha Brinkman #1),20.3,3,In stock,Mystery,True,2141.65
1st to Die (Women's Murder Club #1),53.98,1,In stock,Mystery,True,5694.889999999999
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,In stock,Sequential_art,True,5516.595
