title,price_gbp,rating
The Dirty Little Secrets of Getting Your Dream Job,33.34,4
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,5
Made to Stick: Why Some Ideas Survive and Others Die,38.85,5
Born for This: How to Find the Work You Were Meant to Do,21.59,5
Sharp Objects,47.82,4
The Past Never Ends,56.5,4
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4
A Time of Torment (Charlie Parker #14),48.35,5
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4
The Silkworm (Cormoran Strike #2),23.05,5
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4
The Girl You Lost,12.29,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5
This One Summer,19.49,4
The Nameless City (The Nameless City #1),38.16,4
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4
Danganronpa Volume 1,51.99,4
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4
Camp Midnight,17.08,4
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4
Batman: The Dark Knight Returns (Batman),15.38,5
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4
El Deafo,57.62,5
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,4
Roller Girl,14.1,5
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,4
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,4
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,5
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,5
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,4
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,5
"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,4
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,4
"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,4
"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,5
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,5
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,4
